GAS_LINES_TIMESERIES_1,GAS_LINES_TIMESERIES_2,GAS_LINES_TIMESERIES_3,DispatchGl
AZ,NM,20230407,0.0
AZ,NM,20230408,0.0
AZ,NM,20230409,0.0
AZ,NM,20230410,0.0
AZ,NM,20230411,0.0
AZ,NM,20230412,0.0
AZ,NM,20230413,0.0
AZ,NM,20230414,0.0
AZ,NM,20230415,0.0
AZ,NM,20230416,0.0
AZ,NM,20230417,0.0
AZ,NM,20230418,0.0
AZ,NM,20230419,0.0
AZ,NM,20230420,0.0
AZ,NM,20230421,0.0
AZ,NM,20230422,0.0
AZ,NM,20230423,0.0
AZ,NM,20230424,0.0
AZ,NM,20230425,0.0
AZ,NM,20230426,0.0
AZ,NM,20230427,0.0
AZ,NM,20230428,0.0
AZ,NM,20230429,0.0
AZ,NM,20230430,0.0
AZ,NM,20230501,0.0
AZ,NM,20230502,0.0
AZ,NM,20230503,0.0
AZ,NM,20230504,0.0
AZ,NM,20230505,0.0
AZ,NM,20230506,0.0
AZ,NM,20230507,0.0
AZ,NM,20230508,0.0
AZ,NM,20230509,0.0
AZ,NM,20230510,0.0
AZ,NM,20230511,0.0
AZ,NM,20230512,0.0
AZ,NM,20230513,0.0
AZ,NM,20230514,0.0
AZ,NM,20230515,0.0
AZ,NM,20230516,0.0
AZ,NM,20230517,0.0
AZ,NM,20230518,0.0
AZ,NM,20230519,0.0
AZ,NM,20230520,0.0
AZ,NM,20230521,0.0
AZ,NM,20230522,0.0
AZ,NM,20230523,0.0
AZ,NM,20230524,0.0
AZ,NM,20230525,0.0
AZ,NM,20230526,0.0
AZ,NM,20230527,0.0
AZ,NM,20230528,0.0
AZ,NM,20230529,0.0
AZ,NM,20230530,0.0
AZ,NM,20230531,0.0
AZ,NM,20230601,0.0
AZ,NM,20230602,0.0
AZ,NM,20230603,0.0
AZ,NM,20230604,0.0
AZ,NM,20230605,0.0
AZ,NM,20230606,0.0
AZ,NM,20230607,0.0
AZ,NM,20230608,0.0
AZ,NM,20230609,0.0
AZ,NM,20230610,0.0
AZ,NM,20230611,0.0
AZ,NM,20230612,0.0
AZ,NM,20230613,0.0
AZ,NM,20230614,0.0
AZ,NM,20230615,0.0
AZ,NM,20230616,0.0
AZ,NM,20230617,0.0
AZ,NM,20230618,0.0
AZ,NM,20230619,0.0
AZ,NM,20230620,0.0
AZ,NM,20230621,0.0
AZ,NM,20230622,0.0
AZ,NM,20230623,0.0
AZ,NM,20230624,0.0
AZ,NM,20230625,0.0
AZ,NM,20230626,0.0
AZ,NM,20230627,0.0
AZ,NM,20230628,0.0
AZ,NM,20230629,0.0
AZ,NM,20230630,0.0
AZ,NM,20230701,0.0
AZ,NM,20230702,0.0
AZ,NM,20230703,0.0
AZ,NM,20230704,0.0
AZ,NM,20230705,0.0
AZ,NM,20230706,0.0
AZ,NM,20230707,0.0
AZ,NM,20230708,0.0
AZ,NM,20230709,0.0
AZ,NM,20230710,0.0
AZ,NM,20230711,0.0
AZ,NM,20230712,0.0
AZ,NM,20230713,0.0
AZ,NM,20230714,0.0
AZ,NM,20230715,0.0
AZ,NM,20230716,0.0
AZ,NM,20230717,0.0
AZ,NM,20230718,0.0
AZ,NM,20230719,0.0
AZ,NM,20230720,0.0
AZ,NM,20230721,0.0
AZ,NM,20230722,0.0
AZ,NM,20230723,0.0
AZ,NM,20230724,0.0
AZ,NM,20230725,0.0
AZ,NM,20230726,0.0
AZ,NM,20230727,0.0
AZ,NM,20230728,0.0
AZ,NM,20230729,0.0
AZ,NM,20230730,0.0
AZ,NM,20230731,0.0
AZ,NM,20230801,0.0
